"Name","Version","FirstDate","FirstBucket","LastDate","LastBucket","Description"
"busybox-dirname","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-dos2unix","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-dpkg","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-dpkg-deb","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-du","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-echo","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ed","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-egrep","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-env","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-expand","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-expr","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-factor","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-false","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-fgrep","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
